Measurement Number,Total Samples,Pin44 Active (1/0),Pin45 Active (1/0),Avg Pin44 (mid points),Avg Pin45 (mid points),Out of Normal Range
59,6,1,0,3246.5,3166.5,0
60,6,1,0,3247.5,3165.0,0
61,6,0,1,5.5,203.5,0
62,6,0,1,4.0,205.5,0
63,6,1,0,3247.0,3169.5,0
64,6,0,1,4.5,205.5,0
65,5,0,1,4.0,206.0,0
66,6,0,1,3.5,205.5,0
67,6,1,0,3247.5,3167.0,0
68,6,1,0,3247.0,3167.5,0
69,6,1,0,3247.5,3167.0,0
70,6,0,1,1.0,204.5,0
71,6,1,0,3246.5,3167.0,0
72,6,1,0,3247.0,3165.0,0
73,6,1,0,3247.5,3170.5,0
74,6,0,1,4.5,205.0,0
75,6,0,1,4.5,204.0,0
76,6,1,0,3247.0,3168.5,0
77,6,0,1,3.0,204.5,0
78,6,0,1,4.0,203.5,0
79,6,1,0,3245.5,3167.5,0
80,6,1,0,3247.5,3168.5,0
81,6,1,0,3247.5,3166.5,0
82,6,1,0,3247.0,3168.0,0
83,6,1,0,3247.0,3166.5,0
84,6,1,0,3246.0,3168.5,0
85,6,0,1,6.0,203.5,0
86,6,1,0,3246.5,3168.5,0
87,6,1,0,3247.0,3169.5,0
88,6,1,0,3246.5,3168.5,0
89,6,0,1,2.0,204.5,0
90,6,1,0,3247.0,3166.5,0
91,6,1,0,3247.0,3169.0,0
92,6,1,0,3246.5,3169.0,0
93,6,1,0,3245.0,3166.0,0
